Type,Message
ham,"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx"
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,U sure u can't take any sick time?
ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
ham,Tell me something. Thats okay.
ham,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
ham,Nope... Juz off from work...
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P"
ham,Oh k.k..where did you take test?
ham,I think that tantrum's finished so yeah I'll be by at some point
ham,Hey i've booked the 2 lessons on sun liao...
ham,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X
spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3 "
ham,So how are you really. What are you up to. How's the masters. And so on.
ham,Hahaha..use your brain dear
ham,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave
ham,Ok i thk i got it. Then u wan me 2 come now or wat?
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham,How did you find out in a way that didn't include all of these details
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Where are you?when wil you reach here?
ham,"Hiya, had a good day? Have you spoken to since the weekend?"
ham,U GOIN OUT 2NITE?
ham,Im just wondering what your doing right now?
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
ham,"Lol, oh you got a friend for the dog ?"
ham,What about this one then.
ham,"Hmm well, night night "
ham,Still i have not checked it da. . .
ham,U're welcome... Caught u using broken english again...
ham,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...
ham,"Nah I don't think he goes to usf, he lives around here though"
ham,Oh thanks a lot..i already bought 2 eggs ..
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. 
ham,You should get more chicken broth if you want ramen unless there's some I don't know about
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,soon you will have the real thing princess! Do i make you wet? :)
ham,Another month. I need chocolate weed and alcohol.
ham,Dear good morning now only i am up
ham,Oh... Okie lor...We go on sat... 
ham,Good Morning plz call me sir
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
ham, what number do u live at? Is it 11?
ham,Remind me how to get there and I shall do so
ham,"Sir, waiting for your letter."
ham,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome"
ham,I ask if u meeting da ge tmr nite...
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
ham,what is your account number?
ham,Ic. There are a lotta childporn cars then.
ham,Jesus armand really is trying to tell everybody he can find
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
ham,Tired. I haven't slept well the past few nights.
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+
ham,Gibbs unsold.mike hussey
ham,So how many days since then?
ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore"
ham,"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. "
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham,I will take care of financial problem.i will help:)
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,Ok. Me watching tv too.
ham,"Ok., is any problem to u frm him? Wats matter?"
spam,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
ham,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
ham,"Haha awesome, I've been to 4u a couple times. Who all's coming?"
ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham,"Nothing really, just making sure everybody's up to speed"
ham,Yup
ham,At what time are you coming.
ham,Ok.ok ok..then..whats ur todays plan
ham,"Awesome, lemme know whenever you're around"
ham,Shall call now dear having food
ham,"K, if u bored up just come to my home.."
ham,Ok lar... Joking wif u oni...
ham,No. I dont want to hear anything
ham,What Today-sunday..sunday is holiday..so no work..
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
ham,Or ill be a little closer like at the bus stop on the same street
ham,"Hi elaine, is today's meeting confirmed?"
ham,So when do you wanna gym?
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,"Since when, which side, any fever, any vomitin."
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
ham,Have you seen who's back at Holby?!
ham,Yar else i'll thk of all sorts of funny things.
ham,No management puzzeles.
ham,Finally the match heading towards draw as your prediction.
ham,On the way to office da..
ham,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt
ham,Then u go back urself lor...
ham,Love you aathi..love u lot..
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
ham,That's necessarily respectful
ham,"No, I was trying it all weekend ;V"
ham,Nope. I just forgot. Will show next week
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!"
spam,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
ham,No probably  &lt;#&gt; %.
ham,Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.
ham,NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!
ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
ham,Lovely smell on this bus and it ain't tobacco... 
ham,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...
ham,Yes princess! I want to please you every night. Your wish is my command...
ham,"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams"
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
ham,That's cause your old. I live to be high.
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
ham,"Sorry, I'll call later in meeting"
ham,Hi my email address has changed now it is 
ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
ham,Can... I'm free...
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.
ham,But i dint slept in afternoon.
spam,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate."
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya 
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
ham,Yo im right by yo work
ham,So do you have samus shoulders yet
ham,Hi mom we might be back later than  &lt;#&gt; 
ham,What happen to her tell the truth
ham,* Will have two more cartons off u and is very pleased with shelves
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,I am not sure about night menu. . . I know only about noon menu
ham,Compliments to you. Was away from the system. How your side.
ham,"Sorry, I'll call later"
ham,Was actually about to send you a reminder today. Have a wonderful weekend
ham,Shb b ok lor... Thanx...
ham,Cold. Dont be sad dear
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
